,Unnamed: 0,FILE TYPE,SKU,AVAILABLE,QTY,NEXT AVAILABLE QTY,NEXT AVAILABLE DATE,MANUFACTURER,MANUFACTURER SKU,DESCRIPTION,UNIT COST,UNIT COST 2,UNIT COST 3,UNIT COST 4,DISCONTINUED,DISCONTINUED DATE,AVAILABILITY START DATE,AVAILABILITY END DATE,MIN DAYS TO SHIP,MAX DAYS TO SHIP,CONDITION CODE,MERCH. DEPT.,UNIT OF MEASURE,MERCHANT SKU,MERCHANT,GS1 ID,Warehouse 1 ID,Warehouse 1 QTY,Warehouse 1 Next Available QTY,Warehouse 1 Next Available Date,Warehouse 2 ID,Warehouse 2 QTY,Warehouse 2 Next Available QTY,Warehouse 2 Next Available DATE,Warehouse 3 ID,Warehouse 3 QTY,Warehouse 3 Next Available QTY,Warehouse 3 Next Available DATE,Warehouse 4 ID,Warehouse 4 QTY,Warehouse 4 Next Available QTY,Warehouse 4 Next Available Date,Warehouse 5 ID,Warehouse 5 QTY,Warehouse 5 Next Available QTY
161,161,IN,K6958-B123,No,0,,,,,,,,,,,,,,,,,,,313035486,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
162,162,IN,K6958-B200,No,0,,,,,,,,,,,,,,,,,,,313035548,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
163,163,IN,K6958-B203,Yes,10,,,,,Teal Tufted Velvet Bench with Gold Metal Frame 17.5 in. Height X 24 in. Width X 16 in. Depth,,,,,,,,,,,,,,313035588,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
164,164,IN,K7052-1501-5,Yes,37,,,,,HomePop Layla Tufted Bench - Natural,,,,,,,,,,,,,,308391520,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
165,165,IN,K7052-1501-7,Yes,30,,,,,HomePop Layla Tufted Bench - Gray,,,,,,,,,,,,,,308391514,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
166,166,IN,K7052-F2208,Yes,20,,,,,HomePop Layla Tufted Bench - Dark Charcoal Gray,,,,,,,,,,,,,,308391512,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
167,167,IN,K7080-799-11,No,0,,,,,Brushed Light Blue Modern Tufted Accent Chair,,,,,,,,,,,,,,306580717,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
168,168,IN,K7116-YDQY-2,Yes,58,,,,,HomePop Draper Large Decorative Bench with Button Tufting - Light Brown Faux Leather,,,,,,,,,,,,,,308391518,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
169,169,IN,K7243,Yes,59,,,,,"HomePop Metal Accent Triangle Gold Base Round Glass Top Table
",,,,,,,,,,,,,,306291008,THEHOMEDEPOT,,KFHQ,30,,,KFNJ,0,,,,,,,,,,,,,
170,170,IN,K7246-J014,No,0,,,,,,,,,,,,,,,,,,,302192857,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
171,171,IN,K7307-F2178,Yes,10,,,,,Tan Kate Tufted Swoop Arm Accent Chair,,,,,,,,,,,,,,306580741,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
172,172,IN,K7378-F1370,No,0,,,,,Large Tufted Storage Bench Deep Gray 18 in. Height X 46 in. Width X 18 in. Depth,,,,,,,,,,,,,,314981734,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
173,173,IN,K7378-F1374,Yes,10,,,,,Large Tufted Storage Bench Teal 18 in. Height X 46 in. Width X 18 in. Depth,,,,,,,,,,,,,,314981717,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
174,174,IN,K7378-F1424,Yes,10,,,,,,,,,,,,,,,,,,,303705281,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
175,175,IN,K7399-B118,Yes,10,,,,,19 in. H  x 19 in. W x 19 in. D White Velvet Round Ottoman,,,,,,,,,,,,,,315663087,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
176,176,IN,K7401-F2060,Yes,38,,,,,18 in. H x 20 in. W x 20 in. D Gray and Cream Awning Stripe Ottoman with Metal X-Base,,,,,,,,,,,,,,315663086,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
177,177,IN,K7446-F2105,Yes,39,,,,,Blake Backless 24 in. Blue Bar Stool,,,,,,,,,,,,,,306903947,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
178,178,IN,K7446-F2176,Yes,20,,,,,Blake Backless 24 in. Blue Bar Stool,,,,,,,,,,,,,,306903949,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
179,179,IN,K7446-F2178,Yes,10,,,,,Blake Backless 24 in. Natural Bar Stool,,,,,,,,,,,,,,306903951,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
180,180,IN,K7446-F2181,No,0,,,,,Blake Backless 24 in. Natural Bar Stool,,,,,,,,,,,,,,306903938,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
181,181,IN,K7446-F2182,Yes,42,,,,,Blake Backless 24 in. Gray Bar Stool,,,,,,,,,,,,,,306903939,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
182,182,IN,K7446-F2183,Yes,10,,,,,Blake Backless 24 in. Gray Bar Stool,,,,,,,,,,,,,,306903941,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
183,183,IN,K7467-B227,Yes,20,,,,,HomePop Faux Fur White Rectangle Bench,,,,,,,,,,,,,,308391511,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
184,184,IN,K7467-B233,Yes,51,,,,,HomePop Faux Fur Rectangle Bench - Pink,,,,,,,,,,,,,,308391513,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
185,185,IN,K7467-B255,Yes,10,,,,,HomePop Velvet Rectangle Bench - Black,,,,,,,,,,,,,,308391504,THEHOMEDEPOT,,KFHQ,4,,,KFNJ,0,,,,,,,,,,,,,
186,186,IN,K7543-F2232,No,0,,,,,HomePop Mid Century Decorative Bench - Ash Grey,,,,,,,,,,,,,,308391505,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
187,187,IN,K7569.29-F1326,Yes,10,,,,,Upholstered 24 in. Sand Bar Stool,,,,,,,,,,,,,,306903943,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
188,188,IN,K7570.24-F1210,Yes,10,,,,,Upholstered 24 in. Seafoan Green Bar Stool,,,,,,,,,,,,,,306903935,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
189,189,IN,K7570.24-F1211,No,0,,,,,Upholstered 24 in. Tan Bar Stool,,,,,,,,,,,,,,306903936,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
190,190,IN,K7570.24-F2105,Yes,20,,,,,Counter stool 24 in. Dark Charcoal Bar Stool,,,,,,,,,,,,,,306903954,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
191,191,IN,K7570.24-F2176,No,0,,,,,Upholstered 24 in. Deep Navy Bar Stool,,,,,,,,,,,,,,306903960,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
192,192,IN,K7570.24-F2178,No,0,,,,,Upholstered 24 in. Tan Bar Stool,,,,,,,,,,,,,,306903961,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
193,193,IN,K7570.24-F2182,No,0,,,,,Upholstered 24 in. Slate Gray Bar Stool,,,,,,,,,,,,,,306903963,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
194,194,IN,K7570.24-F2183,Yes,31,,,,,Upholstered 24 in. Sterling Gray Bar Stool,,,,,,,,,,,,,,306903956,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
195,195,IN,K7572-F2182,Yes,20,,,,,Tara Heathered Gray Bench / Settee with Storage 23 in. H x 50 in. W x 18 in. D,,,,,,,,,,,,,,314981712,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
196,196,IN,K7575-A793,Yes,20,,,,,"Curved Top Parsons Suri Tan, Yellow and Cream Damask Upholstered Dining Chair Set of 2",,,,,,,,,,,,,,307976324,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
197,197,IN,K7575-F2060,No,0,,,,,Curved Top Parsons Gray Stripe Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976321,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
198,198,IN,K7575-F2230,Yes,57,,,,,Parsons Blue Calypso Stripe Upholstered Dining Chair (Set of 2),,,,,,,,,,,,,,307976330,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
199,199,IN,K7575-F2231,Yes,39,,,,,Parsons Dove Grey Stripe Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976326,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
200,200,IN,K7576.24-A769,Yes,32,,,,,Finley Curvedless 24 in. Gray Bar Stool,,,,,,,,,,,,,,306903957,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
201,201,IN,K7576.24-A793,Yes,10,,,,,Suri Curvedless 24 in. Multi Bar Stool,,,,,,,,,,,,,,306903958,THEHOMEDEPOT,,KFHQ,4,,,KFNJ,0,,,,,,,,,,,,,
202,202,IN,K7576.24-F2060,No,0,,,,,Curved Back 24 in. Grey Stripe Bar Stool,,,,,,,,,,,,,,306903959,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
203,203,IN,K7576.29-F2060,No,0,,,,,Curved Back 29 in. Grey Stripe Bar Stool,,,,,,,,,,,,,,306903955,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
204,204,IN,K7576.29-F2230,Yes,10,,,,,Parsons 29 in. Blue Stripe Bar Stool,,,,,,,,,,,,,,306903887,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
205,205,IN,K7576.29-F2231,Yes,10,,,,,Parsons 29 in. Dove Grey Stripe Bar Stool,,,,,,,,,,,,,,306903888,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
206,206,IN,K7643-F2262,Yes,10,,,,,HomePop Decorative Bench with Wooden Storage - Black Plaid,,,,,,,,,,,,,,308391506,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
207,207,IN,K7643-F2269,No,0,,,,,HomePop Decorative Bench with Wooden Storage - Blue Plaid,,,,,,,,,,,,,,308391516,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
208,208,IN,K7651.24-F1552,Yes,40,,,,,Open Back Metal  24 in. Brown Bar Stool,,,,,,,,,,,,,,306903902,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
209,209,IN,K7651.24-F1553,Yes,54,,,,,Open Back Metal  24 in. Natural Bar Stool,,,,,,,,,,,,,,306903904,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
210,210,IN,K7651.24-F1554,No,0,,,,,Open Back Metal  24 in. Light Gray Bar Stool,,,,,,,,,,,,,,306903906,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
211,211,IN,K7651.24-F2261,Yes,10,,,,,Open Back 24 in. Wicker Grey  Bar Stool,,,,,,,,,,,,,,306903894,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
212,212,IN,K7651.24-F2267,No,0,,,,,Open Back 24 in. Onyx Bar Stool,,,,,,,,,,,,,,306903896,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
213,213,IN,K7683-F2176,Yes,46,,,,,Swoop Deep Navy with Nailhead Trim Accent Chair,,,,,,,,,,,,,,306580758,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
214,214,IN,K7693-F2262,Yes,118,,,,,Parsons Buffalo Black Plaid Upholstered Dining Chair (Set of-2),,,,,,,,,,,,,,307976328,THEHOMEDEPOT,,KFHQ,30,,,KFNJ,0,,,,,,,,,,,,,
215,215,IN,K7693-F2269,Yes,20,,,,,Parsons Blue Buffalo Plaid Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976329,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
216,216,IN,K7693-F2270,Yes,36,,,,,Parsons Buffalo Grey Plaid Upholstered Dining Chair (Set of-2),,,,,,,,,,,,,,307976332,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
217,217,IN,K7699.24-F2262,No,0,,,,,Square 24 in. Black Plaid Bar Stool,,,,,,,,,,,,,,306903898,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
218,218,IN,K7699.24-F2269,No,0,,,,,Square 24 in. Blue Plaid Bar Stool,,,,,,,,,,,,,,306903900,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
219,219,IN,K7700-F2280,No,0,,,,,Dinah Modern Navy Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976331,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
220,220,IN,K7701.24-A839,No,0,,,,,Dinah 24 in. Grey Lattice Bar Stool,,,,,,,,,,,,,,306903911,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
221,221,IN,K7701.24-A840,No,0,,,,,Dinah 24 in. Orange Bar Stool,,,,,,,,,,,,,,306903923,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
222,222,IN,K7701.24-F2280,Yes,10,,,,,Dinah 24 in. Grey Lattice Bar Stool,,,,,,,,,,,,,,306903925,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
223,223,IN,K7701.24-F2281,Yes,20,,,,,Dinah 24 in. Navy Blue Bar Stool,,,,,,,,,,,,,,306903927,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
224,224,IN,K7701.24-F2283,No,0,,,,,Dinah 24 in. Brown Bar Stool,,,,,,,,,,,,,,306903917,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
225,225,IN,K7746-F2294,No,0,,,,,Chevron Textured Gray Armless Accent Chair,,,,,,,,,,,,,,306580782,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
226,226,IN,K7802-YDQY-2,Yes,10,,,,,18 in. H x 57.50 in. W x 27.75 in. D Draper Light Brown Faux Leather Large Decorative Bench/Ottoman,,,,,,,,,,,,,,314975720,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
227,227,IN,K8536-B302,Yes,20,,,,,Sherpa Gray Accent Chair,,,,,,,,,,,,,,314937885,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
228,228,IN,K8536-B303,No,0,,,,,Sherpa Cream Accent Chair,,,,,,,,,,,,,,314937969,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
229,229,IN,K8537-B305,Yes,10,,,,,Gray Tufted Ottoman with Black Metal and Honey Oak Wood Legs with Storage 20 in. H x 30 in. W x 30 in. D,,,,,,,,,,,,,,315663084,THEHOMEDEPOT,,KFHQ,2,,,KFNJ,0,,,,,,,,,,,,,
230,230,IN,N4538-E608,Yes,36,,,,,,,,,,,,,,,,,,,303705470,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
231,231,IN,N6196-E074,Yes,20,,,,,Large Brown Faux Leather Tufted Bench with Storage 18 in. H x 43 in. W X 22 in. D,,,,,,,,,,,,,,314981708,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
232,232,IN,N6302-F1550,Yes,20,,,,,Chunky Textured Teal Decorative Bench with Storage 18 in. Height X 40 in. Width X 18.5 in. Depth,,,,,,,,,,,,,,314981704,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
233,233,IN,N6302-F1569,No,0,,,,,Chunky Textured Mango Coral Decorative Bench with Storage 18 in. Height X 40 in. Width X 18.5 in. Depth,,,,,,,,,,,,,,314981722,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
234,234,IN,N6302-F1570,No,0,,,,,Chunky Textured Navy Blue Decorative Bench with Storage 18 in. Height X 40 in. Width X 18.5 in. Depth,,,,,,,,,,,,,,314981727,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
235,235,IN,N6337-F1337,Yes,30,,,,,Multi Parson Chair,,,,,,,,,,,,,,306580783,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
236,236,IN,N6354-A708,Yes,56,,,,,Parsons Deluxe Multi-Color Ikat Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976243,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
237,237,IN,N6354-E073,No,0,,,,,Parsons Black Faux Leather Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976244,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
238,238,IN,N6354-F1423,Yes,80,,,,,Parsons Multi-Color Medallion Woven Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976250,THEHOMEDEPOT,,KFHQ,20,,,KFNJ,0,,,,,,,,,,,,,
239,239,IN,N6354-F354,No,0,,,,,Parsons Leopard Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976251,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
240,240,IN,N6354-F827,No,0,,,,,Parsons Blue and Brown Paisley Medallion Upholstered Dining Chair Set of 2,,,,,,,,,,,,,,307976239,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
241,241,IN,N7718-F1158,Yes,20,,,,,Carolina Tufted Bench With Nailhead Trim,,,,,,,,,,,,,,308391522,THEHOMEDEPOT,,KFHQ,10,,,KFNJ,0,,,,,,,,,,,,,
242,242,IN,N8264-F1044,Yes,20,,,,,,,,,,,,,,,,,,,303705486,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
243,243,IN,N8264-F1077,Yes,20,,,,,,,,,,,,,,,,,,,303705500,THEHOMEDEPOT,,KFHQ,0,,,KFNJ,0,,,,,,,,,,,,,
